SKU,Brand_Desc,Product_Category,Date range,Ranking (By net sales),Net Sales,Net Sales Items,Transaction,ATV,ASP,Net Sales Contribution,Net Sales Items Contribution,Brand
2687519,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",27,12774.94,28,22,580.679091,456.247857,0.002888,0.000943,PROP
1112008,FINO,Haircare,"Jan 01, 2026 - Jan 31, 2026",28,12130.11,37,28,433.218214,327.840811,0.002742,0.001246,PROP
2754860,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",29,11974.5,13,6,1995.75,921.115385,0.002707,0.000438,PROP
2583918,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",30,11775.7,10,5,2355.14,1177.57,0.002662,0.000337,PROP
2244039,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",31,11498.63,19,11,1045.33,605.191053,0.002599,0.00064,BOOTS
2304172,Durex,Family Planning,"Jan 01, 2026 - Jan 31, 2026",32,10877.27,39,39,278.904359,278.904359,0.002459,0.001314,PROP
2687527,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",33,10520.24,23,18,584.457778,457.401739,0.002378,0.000775,PROP
0064038,Augmentin,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",34,10476.61,19,15,698.440667,551.400526,0.002368,0.00064,PROP
1093703,TT HONGTHAI,OTC Cough Cold,"Jan 01, 2026 - Jan 31, 2026",35,10424.03,19,14,744.573571,548.633158,0.002356,0.00064,PROP
1119218,G NITE,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",36,10141.74,185,34,298.286471,54.820216,0.002293,0.006232,PROP
1087788,Vaseline,DEODORANT,"Jan 01, 2026 - Jan 31, 2026",37,10129.41,123,35,289.411714,82.352927,0.00229,0.004144,PROP
2760399,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",38,9839.96,12,8,1229.995,819.996667,0.002224,0.000404,PROP
3029719,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",39,9720.84,92,57,170.541053,105.661304,0.002197,0.003099,BOOTS
1080095,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",40,9697.62,21,10,969.762,461.791429,0.002192,0.000707,PROP
2435919,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",41,9678.44,34,24,403.268333,284.66,0.002188,0.001145,PROP
0053001,CRESTOR,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",42,9616.82,15,4,2404.205,641.121333,0.002174,0.000505,PROP
2754739,Smooth E,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",43,9559.25,10,4,2389.8125,955.925,0.002161,0.000337,PROP
2384656,Counterpain,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",44,9503.52,28,11,863.956364,339.411429,0.002148,0.000943,PROP
1085590,Vichy,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",45,9495.57,6,4,2373.8925,1582.595,0.002146,0.000202,PROP
2455405,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",46,9407.19,12,10,940.719,783.9325,0.002126,0.000404,PROP
2585430,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",47,9366.33,8,6,1561.055,1170.79125,0.002117,0.000269,PROP
1121262,Vichy,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",48,9243.59,6,5,1848.718,1540.598333,0.00209,0.000202,PROP
0025048,VYTOLIN,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",49,9132.24,5,3,3044.08,1826.448,0.002064,0.000168,PROP
1103685,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",50,9107.16,19,15,607.144,479.324211,0.002059,0.00064,PROP
1110342,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",51,9021.96,14,9,1002.44,644.425714,0.002039,0.000472,PROP
2207754,Smooth E,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",52,8915.86,14,3,2971.953333,636.847143,0.002015,0.000472,PROP
1068356,Counterpain,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",53,8872.31,10,10,887.231,887.231,0.002006,0.000337,PROP
0131047,Nicorette,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",54,8853.26,10,5,1770.652,885.326,0.002001,0.000337,PROP
2647673,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",55,8790.17,8,6,1465.028333,1098.77125,0.001987,0.000269,PROP
4362829,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",56,8352.8,20,13,642.523077,417.64,0.001888,0.000674,BOOTS
2432448,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",57,8330.87,8,7,1190.124286,1041.35875,0.001883,0.000269,PROP
2548462,AGRILIFE,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",58,8271.82,15,10,827.182,551.454667,0.00187,0.000505,PROP
4936833,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",59,8210.77,10,6,1368.461667,821.077,0.001856,0.000337,BOOTS
1112750,Vaseline,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",60,8209.36,32,24,342.056667,256.5425,0.001856,0.001078,PROP
2687535,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",61,8111.58,49,42,193.132857,165.542449,0.001834,0.001651,PROP
2759307,Durex,Family Planning,"Jan 01, 2026 - Jan 31, 2026",62,8052.25,24,23,350.097826,335.510417,0.00182,0.000808,PROP
2129655,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",63,8025.35,77,46,174.46413,104.225325,0.001814,0.002594,BOOTS
2760291,GOFEN,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",64,8018.56,78,53,151.293585,102.802051,0.001813,0.002628,PROP
0031082,BILAXTEN,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",65,7609.72,42,32,237.80375,181.18381,0.00172,0.001415,PROP
1099177,FEITAS,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",66,7592.53,29,7,1084.647143,261.811379,0.001716,0.000977,PROP
0131048,Nicorette,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",67,7575.69,7,6,1262.615,1082.241429,0.001712,0.000236,PROP
1071394,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",68,7482.12,26,20,374.106,287.773846,0.001691,0.000876,PROP
1099100,GASMOTIN,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",69,7462.86,14,4,1865.715,533.061429,0.001687,0.000472,PROP
0033025,NASONEX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",70,7439.25,8,5,1487.85,929.90625,0.001682,0.000269,PROP
1095187,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",71,7401.85,20,9,822.427778,370.0925,0.001673,0.000674,PROP
0074006,VALTREX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",72,7379.44,7,2,3689.72,1054.205714,0.001668,0.000236,PROP
2173794,Soap & Glory,Bathcare,"Jan 01, 2026 - Jan 31, 2026",73,7247.17,26,13,557.474615,278.737308,0.001638,0.000876,BOOTS
2478758,Gaviscon,OTC Gastro,"Jan 01, 2026 - Jan 31, 2026",74,7191.69,28,25,287.6676,256.846071,0.001626,0.000943,PROP
2437695,Mega,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",75,7168.23,13,5,1433.646,551.402308,0.00162,0.000438,PROP
2648777,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",76,7065.42,6,3,2355.14,1177.57,0.001597,0.000202,PROP
1095985,BOOTS FOOD SUPPLEMENT,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",77,7031.53,20,8,878.94125,351.5765,0.001589,0.000674,BOOTS
1094487,NODOGLE,OTC Cough Cold,"Jan 01, 2026 - Jan 31, 2026",78,7014.96,18,8,876.87,389.72,0.001586,0.000606,PROP
1025782,INSTI,HC Equipment,"Jan 01, 2026 - Jan 31, 2026",79,6915.89,11,5,1383.178,628.717273,0.001563,0.000371,PROP
1100458,VOCINTI,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",80,6907.01,4,2,3453.505,1726.7525,0.001561,0.000135,PROP
2636450,Gillette,Mens,"Jan 01, 2026 - Jan 31, 2026",81,6872.88,6,5,1374.576,1145.48,0.001554,0.000202,PROP
2640288,Centrum,Vitamin,"Jan 01, 2026 - Jan 31, 2026",82,6825.91,7,7,975.13,975.13,0.001543,0.000236,PROP
1064660,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",83,6819.07,15,11,619.915455,454.604667,0.001541,0.000505,PROP
1078632,VISLUBE,Eyecare,"Jan 01, 2026 - Jan 31, 2026",84,6803.69,14,13,523.360769,485.977857,0.001538,0.000472,PROP
2068975,HICEE,Vitamin,"Jan 01, 2026 - Jan 31, 2026",85,6795.7,125,29,234.334483,54.3656,0.001536,0.004211,PROP
0015027,Blopress,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",86,6779.44,10,1,6779.44,677.944,0.001532,0.000337,PROP
2457653,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",87,6773.57,8,6,1128.928333,846.69625,0.001531,0.000269,PROP
1112015,FINO,Haircare,"Jan 01, 2026 - Jan 31, 2026",88,6706.26,18,16,419.14125,372.57,0.001516,0.000606,PROP
1118021,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",89,6703.51,5,5,1340.702,1340.702,0.001515,0.000168,PROP
1102306,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",90,6698.14,9,9,744.237778,744.237778,0.001514,0.000303,PROP
2541549,L'Oreal,Haircare,"Jan 01, 2026 - Jan 31, 2026",91,6648.91,23,19,349.942632,289.083043,0.001503,0.000775,PROP
2477859,Braun,Mens,"Jan 01, 2026 - Jan 31, 2026",92,6631.98,8,8,828.9975,828.9975,0.001499,0.000269,PROP
0025013,Lipitor,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",93,6568.69,16,3,2189.563333,410.543125,0.001485,0.000539,PROP
1086129,Gillette,Mens,"Jan 01, 2026 - Jan 31, 2026",94,6546.71,5,5,1309.342,1309.342,0.00148,0.000168,PROP
0025032,OMACOR,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",95,6542.05,5,4,1635.5125,1308.41,0.001479,0.000168,PROP
2481244,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",96,6465.29,35,20,323.2645,184.722571,0.001461,0.001179,PROP
0022201,RELPAX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",97,6437.37,24,5,1287.474,268.22375,0.001455,0.000808,PROP
2447453,Dentiste,DENTAL,"Jan 01, 2026 - Jan 31, 2026",98,6392.55,19,11,581.140909,336.45,0.001445,0.00064,PROP
1104665,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",99,6245.79,3,3,2081.93,2081.93,0.001412,0.000101,PROP
1122074,ATOZET,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",100,6233.64,3,2,3116.82,2077.88,0.001409,0.000101,PROP
0133024,HARNAL,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",101,6164.49,5,3,2054.83,1232.898,0.001393,0.000168,PROP
1082601,Vichy,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",102,6140.18,4,2,3070.09,1535.045,0.001388,0.000135,PROP
0114082,Nurofen,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",103,6137.34,33,31,197.97871,185.98,0.001387,0.001112,PROP
1071401,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",104,6115.88,16,12,509.656667,382.2425,0.001382,0.000539,PROP
1100262,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",105,6096.35,7,6,1016.058333,870.907143,0.001378,0.000236,PROP
1113660,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",106,6095.81,12,12,507.984167,507.984167,0.001378,0.000404,BOOTS
2534453,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",107,6044.86,9,4,1511.215,671.651111,0.001366,0.000303,PROP
1113681,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",108,5939.5,13,12,494.958333,456.884615,0.001343,0.000438,BOOTS
1110349,Vichy,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",109,5925.24,8,6,987.54,740.655,0.001339,0.000269,PROP
1113674,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",110,5905.28,13,11,536.843636,454.252308,0.001335,0.000438,BOOTS
1100416,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",111,5882.98,7,7,840.425714,840.425714,0.00133,0.000236,PROP
0014004,FORLAX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",112,5831.79,380,7,833.112857,15.346816,0.001318,0.012801,PROP
0015026,NEXIUM,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",113,5822.46,7,7,831.78,831.78,0.001316,0.000236,PROP
1066116,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",114,5797.47,30,24,241.56125,193.249,0.001311,0.001011,PROP
0011030,DEXLIANT,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",115,5771.02,2,2,2885.51,2885.51,0.001305,0.000067,PROP
1118042,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",116,5766.39,3,2,2883.195,1922.13,0.001303,0.000101,PROP
2193192,Smooth E,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",117,5761.68,9,3,1920.56,640.186667,0.001302,0.000303,PROP
1058549,L'Oreal,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",118,5751.93,8,6,958.655,718.99125,0.0013,0.000269,PROP
2043107,Tylenol,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",119,5742.31,41,29,198.01069,140.056341,0.001298,0.001381,PROP
1110650,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",120,5739.6,7,7,819.942857,819.942857,0.001297,0.000236,PROP
2641292,Bioderma,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",121,5738.34,14,7,819.762857,409.881429,0.001297,0.000472,PROP
1093458,Durex,Family Planning,"Jan 01, 2026 - Jan 31, 2026",122,5723.25,14,14,408.803571,408.803571,0.001294,0.000472,PROP
0151035,LEXAPRO,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",123,5685.05,4,2,2842.525,1421.2625,0.001285,0.000135,PROP
1067782,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",124,5669.58,12,6,944.93,472.465,0.001282,0.000404,PROP
1109488,17.,Cosmetics,"Jan 01, 2026 - Jan 31, 2026",125,5649.93,61,18,313.885,92.621803,0.001277,0.002055,BOOTS
1121339,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",126,5642.08,37,27,208.965926,152.488649,0.001275,0.001246,PROP
2655293,Durex,Family Planning,"Jan 01, 2026 - Jan 31, 2026",127,5619.61,7,6,936.601667,802.801429,0.00127,0.000236,PROP
1099324,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",128,5606.5,11,11,509.681818,509.681818,0.001267,0.000371,PROP
1128570,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",129,5551.4,4,4,1387.85,1387.85,0.001255,0.000135,PROP
1057919,CATHY DOLL,Suncare,"Jan 01, 2026 - Jan 31, 2026",130,5505.76,26,12,458.813333,211.76,0.001245,0.000876,PROP
2529476,Gaviscon,OTC Gastro,"Jan 01, 2026 - Jan 31, 2026",131,5503.88,170,20,275.194,32.375765,0.001244,0.005727,PROP
2529174,Mega,Vitamin,"Jan 01, 2026 - Jan 31, 2026",132,5501.97,11,11,500.179091,500.179091,0.001244,0.000371,PROP
1052634,Mega,Vitamin,"Jan 01, 2026 - Jan 31, 2026",133,5491.74,7,7,784.534286,784.534286,0.001241,0.000236,PROP
1117405,No7,Gift-Beauty,"Jan 01, 2026 - Jan 31, 2026",134,5449.07,3,1,5449.07,1816.356667,0.001232,0.000101,BOOTS
1090595,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",135,5448.9,11,9,605.433333,495.354545,0.001232,0.000371,PROP
0143010,ANDROGEL,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",136,5394.95,2,2,2697.475,2697.475,0.00122,0.000067,PROP
1081579,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",137,5383.2,20,17,316.658824,269.16,0.001217,0.000674,PROP
2369738,Durex,Family Planning,"Jan 01, 2026 - Jan 31, 2026",138,5300.02,13,12,441.668333,407.693846,0.001198,0.000438,PROP
0102100,NUHAIR,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",139,5233.67,8,6,872.278333,654.20875,0.001183,0.000269,PROP
0102090,DAIVOBET,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",140,5233.64,7,3,1744.546667,747.662857,0.001183,0.000236,PROP
2651107,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",141,5223.85,11,2,2611.925,474.895455,0.001181,0.000371,PROP
2042909,Tiger Balm,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",142,5204.22,55,32,162.631875,94.622182,0.001176,0.001853,PROP
1115116,Cetaphil,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",143,5181.43,7,6,863.571667,740.204286,0.001171,0.000236,PROP
1070995,Dettol,Bathcare,"Jan 01, 2026 - Jan 31, 2026",144,5122,156,71,72.140845,32.833333,0.001158,0.005255,PROP
1091932,Nivea,Suncare,"Jan 01, 2026 - Jan 31, 2026",145,5117.51,11,11,465.228182,465.228182,0.001157,0.000371,PROP
2743516,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",146,5115.92,62,37,138.268108,82.514839,0.001156,0.002089,BOOTS
2482208,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",147,5091.35,7,6,848.558333,727.335714,0.001151,0.000236,PROP
1108284,Eucerin,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",148,5046.72,2,2,2523.36,2523.36,0.001141,0.000067,PROP
0022074,PLAVIX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",149,5041.12,4,1,5041.12,1260.28,0.00114,0.000135,PROP
1079759,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",150,5035.03,4,4,1258.7575,1258.7575,0.001138,0.000135,PROP
0063035,ZITHROMAX,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",151,4962.62,9,5,992.524,551.402222,0.001122,0.000303,PROP
2705053,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",152,4937.67,5,5,987.534,987.534,0.001116,0.000168,PROP
1125889,PYGABA,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",153,4906.54,26,4,1226.635,188.713077,0.001109,0.000876,PROP
1092324,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",154,4877.97,11,9,541.996667,443.451818,0.001103,0.000371,PROP
2636388,Gillette,Mens,"Jan 01, 2026 - Jan 31, 2026",155,4842.76,8,8,605.345,605.345,0.001095,0.000269,PROP
2655447,AVEENO,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",156,4821.7,14,6,803.616667,344.407143,0.00109,0.000472,PROP
0013022,BIOFLOR,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",157,4811.16,12,12,400.93,400.93,0.001088,0.000404,PROP
2659612,PANADOL,OTC Pain Relief,"Jan 01, 2026 - Jan 31, 2026",158,4810.16,86,64,75.15875,55.932093,0.001087,0.002897,PROP
2753821,Caltrate,Vitamin,"Jan 01, 2026 - Jan 31, 2026",159,4808.08,4,4,1202.02,1202.02,0.001087,0.000135,PROP
2677785,GLUCERNA,Dietary,"Jan 01, 2026 - Jan 31, 2026",160,4800.11,4,3,1600.036667,1200.0275,0.001085,0.000135,PROP
2630312,NEUROBION,Vitamin,"Jan 01, 2026 - Jan 31, 2026",161,4799.39,17,11,436.308182,282.317059,0.001085,0.000573,PROP
2683882,PROBAC,Vitamin,"Jan 01, 2026 - Jan 31, 2026",162,4763.55,3,2,2381.775,1587.85,0.001077,0.000101,PROP
1064800,Colgate,DENTAL,"Jan 01, 2026 - Jan 31, 2026",163,4755.16,32,19,250.271579,148.59875,0.001075,0.001078,PROP
2748682,Biore,Suncare,"Jan 01, 2026 - Jan 31, 2026",164,4750.48,17,12,395.873333,279.44,0.001074,0.000573,PROP
1103769,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",165,4724.31,20,13,363.408462,236.2155,0.001068,0.000674,BOOTS
1083077,Blackmores,Vitamin,"Jan 01, 2026 - Jan 31, 2026",166,4717.93,3,2,2358.965,1572.643333,0.001066,0.000101,PROP
0031045,SINGULAR,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",167,4715.89,3,2,2357.945,1571.963333,0.001066,0.000101,PROP
0023049,MSD,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",168,4710.27,3,3,1570.09,1570.09,0.001065,0.000101,PROP
2538742,Nivea,Suncare,"Jan 01, 2026 - Jan 31, 2026",169,4701.87,9,9,522.43,522.43,0.001063,0.000303,PROP
2060583,Nizoral,Backwall Medici,"Jan 01, 2026 - Jan 31, 2026",170,4642.55,12,9,515.838889,386.879167,0.001049,0.000404,PROP
1122669,HANDYHERB,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",171,4599.1,19,13,353.776923,242.057895,0.00104,0.00064,PROP
1122662,G NITE,Food Supplement,"Jan 01, 2026 - Jan 31, 2026",172,4599.09,19,13,353.776154,242.057368,0.00104,0.00064,PROP
1057051,Laroche Posay,Dermo skincare,"Jan 01, 2026 - Jan 31, 2026",173,4592.52,6,1,4592.52,765.42,0.001038,0.000202,PROP
1097231,Colgate,DENTAL,"Jan 01, 2026 - Jan 31, 2026",174,4588.46,31,25,183.5384,148.014839,0.001037,0.001044,PROP
2057531,CICA CARE,First Aid,"Jan 01, 2026 - Jan 31, 2026",175,4588.23,3,2,2294.115,1529.41,0.001037,0.000101,PROP
1113653,No7,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",176,4577.1,9,7,653.871429,508.566667,0.001035,0.000303,BOOTS
0032027,NAC LONG,OTC Cough Cold,"Jan 01, 2026 - Jan 31, 2026",177,4573.81,23,15,304.920667,198.861304,0.001034,0.000775,PROP
1103370,BABY BRIGHT,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",178,4559.8,82,13,350.753846,55.607317,0.001031,0.002762,PROP
3029743,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",179,4548.58,42,29,156.847586,108.299524,0.001028,0.001415,BOOTS
1103776,BOOTS VITAMIN C,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",180,4526.67,21,11,411.515455,215.555714,0.001023,0.000707,BOOTS
2468442,Olay,Mass Skincare,"Jan 01, 2026 - Jan 31, 2026",181,4482.24,8,4,1120.56,560.28,0.001013,0.000269,PROP
1117468,CERAVE,Medicated skinc,"Jan 01, 2026 - Jan 31, 2026",182,4475.72,10,9,497.302222,447.572,0.001012,0.000337,PROP
3504018,BOOTS STYLING,Haircare,"Jan 01, 2026 - Jan 31, 2026",183,4464.89,36,19,234.994211,124.024722,0.001009,0.001213,BOOTS
